muestra,tiempo_us,amplitud_adc
0,0,858
1,200,806
2,400,100
3,600,296
4,800,879
5,1000,295
6,1200,101
7,1400,837
8,1600,567
9,1800,7
10,2000,629
11,2200,811
12,2400,68
13,2600,353
14,2800,880
15,3000,270
16,3200,118
17,3400,844
18,3600,541
19,3800,10
20,4000,654
21,4200,791
22,4400,55
23,4600,381
24,4800,881
25,5000,244
26,5200,138
27,5400,849
28,5600,513
29,5800,15
30,6000,681
31,6200,771
32,6400,44
33,6600,407
34,6800,881
35,7000,221
36,7200,157
37,7400,854
38,7600,486
39,7800,21
40,8000,705
41,8200,748
42,8400,35
43,8600,435
44,8800,881
45,9000,199
46,9200,177
47,9400,858
48,9600,459
49,9800,28
50,10000,728
51,10200,724
52,10400,27
53,10600,463
54,10800,879
55,11000,175
56,11200,201
57,11400,862
58,11600,430
59,11800,37
60,12000,752
61,12200,699
62,12400,20
63,12600,490
64,12800,876
65,13000,154
66,13200,224
67,13400,866
68,13600,404
69,13800,44
70,14000,772
71,14200,679
72,14400,16
73,14600,514
74,14800,873
75,15000,137
76,15200,244
77,15400,869
78,15600,381
79,15800,54
80,16000,791
81,16200,654
82,16400,11
83,16600,543
84,16800,867
85,17000,118
86,17200,272
87,17400,873
88,17600,352
89,17800,68
90,18000,811
91,18200,626
92,18400,7
93,18600,571
94,18800,855
95,19000,100
96,19200,296
97,19400,875
98,19600,326
99,19800,82
100,20000,825
101,20200,600
102,20400,4
103,20600,597
104,20800,837
105,21000,85
106,21200,322
107,21400,878
108,21600,301
109,21800,97
110,22000,836
111,22200,573
112,22400,6
113,22600,624
114,22800,815
115,23000,70
116,23200,348
117,23400,879
118,23600,274
119,23800,115
120,24000,843
121,24200,547
122,24400,9
123,24600,649
124,24800,795
125,25000,58
126,25200,374
127,25400,881
